primary_label,yolo_class_index,soundclass_id,species_name,sound_class,scientific_name,freq_low,freq_high,common_name_zh,common_name_en
340,197,340,白頭翁,S-01,Pycnonotus sinensis,1475,3688,白頭翁,
341,198,341,極北柳鶯,C-01,Phylloscopus borealis,4536,7754,極北柳鶯,
342,199,342,白頭翁,C-01,Pycnonotus sinensis,1936,4287,白頭翁,
343,200,343,白頭翁,C-02,Pycnonotus sinensis,1067,5133,白頭翁,
344,201,344,白頭翁,C-03,Pycnonotus sinensis,1946,4299,白頭翁,
345,202,345,烏頭翁,S-01,Pycnonotus taivanus,1190,3566,烏頭翁,
347,203,347,棕背伯勞,C-01,Lanius schach,1650,5259,棕背伯勞,
349,204,349,河烏,C-01,Cinclus pallasii,3680,5231,河烏,
351,205,351,鷦鷯,S-01,Troglodytes troglodytes,3435,8501,鷦鷯,
352,206,352,鷦鷯,C-01,Troglodytes troglodytes,3114,7380,鷦鷯,
354,207,354,岩鷚,C-01,Prunella collaris,2698,4903,岩鷚,
357,208,357,鉛色水鶇,S-01,Phoenicurus fuliginosus,3138,7801,鉛色水鶇,
358,209,358,鉛色水鶇,C-01,Phoenicurus fuliginosus,4529,4899,鉛色水鶇,
361,210,361,白尾鴝,S-01,Myiomela leucura,2928,4912,白尾鴝,
362,211,362,白尾鴝,C-01,Myiomela leucura,4279,4640,白尾鴝,
365,212,365,黃胸青鶲,S-01,Ficedula hyperythra,5123,7845,黃胸青鶲,
367,213,367,黃腹琉璃,S-01,Niltava vivida,3175,5470,黃腹琉璃,
369,214,369,臺灣紫嘯鶇,C-01,Myophonus insularis,3218,5889,臺灣紫嘯鶇,
370,215,370,臺灣紫嘯鶇,S-01,Myophonus insularis,2877,4761,臺灣紫嘯鶇,
371,216,371,白氏地鶇,S-01,Zoothera aurea,2101,2425,白氏地鶇,
373,217,373,白頭鶇,C-01,Turdus niveiceps,1496,2847,白頭鶇,
374,218,374,小翼鶇,S-01,Brachypteryx goodfellowi,1904,5760,小翼鶇,
375,219,375,褐頭花翼,S-01,Fulvetta formosana,4054,6498,褐頭花翼,
376,220,376,褐頭花翼,C-01,Fulvetta formosana,5347,7263,褐頭花翼,
378,221,378,煤山雀,S-01,Periparus ater,3669,6695,煤山雀,
379,222,379,煤山雀,C-01,Periparus ater,4809,8441,煤山雀,
381,223,381,草鴞,C-01,Tyto longimembris,1724,2487,草鴞,
382,224,382,紅原雞(馴化),rooster,Gallus gallus domesticus,586,1826,紅原雞(馴化),
383,225,383,白鶺鴒,C-01,Motacilla alba,3184,7223,白鶺鴒,
386,226,386,粉紅鸚嘴,C-02,Sinosuthora webbiana,3573,5053,粉紅鸚嘴,
387,227,387,黃羽鸚嘴,C-01,Suthora verreauxi,3693,6468,黃羽鸚嘴,
389,228,389,黃胸藪眉,ST-02,Liocichla steerii,1380,4188,黃胸藪眉,
391,229,391,黑喉噪眉,S-01,Pterorhinus chinensis,1040,2073,黑喉噪眉,
396,230,396,棕噪眉,S-01,Ianthocincla poecilorhyncha,1402,2242,棕噪眉,
400,231,400,臺灣畫眉,S-01,Garrulax taewanus,1771,3807,臺灣畫眉,
401,232,401,紋翼畫眉,C-01,Actinodura morrisoniana,2748,8696,紋翼畫眉,
402,233,402,紋翼畫眉,U-01,Actinodura morrisoniana,2262,3061,紋翼畫眉,
403,234,403,臺灣鷦眉,S-01,Pnoepyga formosana,4085,6341,臺灣鷦眉,
409,235,409,條紋松鼠,C-01,Tamiops maritimus formosanus,5648,7840,條紋松鼠,
410,236,410,棕扇尾鶯,S-01,Cisticola juncidis,4490,4862,棕扇尾鶯,
412,237,412,黃頭扇尾鶯,S-01a,Cisticola exilis,1466,7798,黃頭扇尾鶯,
414,238,414,赤腹松鼠,C-03,Callosciurus erythraeus,727,2923,赤腹松鼠,
416,239,416,斑紋鷦鶯,S-01,Prinia striata,3041,7414,斑紋鷦鶯,
417,240,417,斑紋鷦鶯,C-01,Prinia striata,3443,7594,斑紋鷦鶯,
419,241,419,褐頭鷦鶯,S-01,Prinia inornata,3630,5839,褐頭鷦鶯,
420,242,420,褐頭鷦鶯,C-01,Prinia inornata,4378,6227,褐頭鷦鶯,
422,243,422,火冠戴菊鳥,S-01,Regulus goodfellowi,7660,10171,火冠戴菊鳥,
426,244,426,青背山雀,C-01,Parus monticolus,3027,7847,青背山雀,
427,245,427,青背山雀,U-01,Parus monticolus,2682,7704,青背山雀,
429,246,429,青背山雀,C-02,Parus monticolus,2168,9310,青背山雀,
430,247,430,赤腹山雀,S-01,Sittiparus castaneoventris,5802,8258,赤腹山雀,
431,248,431,赤腹山雀,C-01,Sittiparus castaneoventris,6124,8740,赤腹山雀,
432,249,432,茶腹鳾,S-01,Sitta europaea,2755,3808,茶腹鳾,
437,250,437,茶腹鳾,C-03,Sitta europaea,6161,9494,茶腹鳾,
438,251,438,綠啄花,S-01,Dicaeum minullum,5703,8000,綠啄花,
441,252,441,紅胸啄花,S-01,Dicaeum ignipectus,4680,8739,紅胸啄花,
443,253,443,紅胸啄花,C-02,Dicaeum ignipectus,5349,9394,紅胸啄花,
444,254,444,冠羽畫眉,C-01,Yuhina brunneiceps,2434,6573,冠羽畫眉,
446,255,446,臺灣朱雀,C-01,Carpodacus formosanus,5559,6823,臺灣朱雀,
448,256,448,褐鷽,S-01,Pyrrhula nipalensis,2161,4637,褐鷽,
450,257,450,褐鷽,C-01,Pyrrhula nipalensis,2181,3956,褐鷽,
451,258,451,灰鷽,C-01,Pyrrhula owstoni,2286,3003,灰鷽,
455,259,455,山麻雀,C-02,Passer cinnamomeus,3106,7280,山麻雀,
456,260,456,臺灣野山羊,C-01,Capricornis swinhoei,1374,3887,臺灣野山羊,
457,261,457,大赤鼯鼠,C-03,Petaurista philippensis,446,1763,大赤鼯鼠,
459,262,459,麻雀,C-01,Passer montanus,3092,6084,麻雀,
463,263,463,黃鸝,S-01,Oriolus chinensis,1085,2553,黃鸝,
465,264,465,大卷尾,S-01,Dicrurus macrocercus,1730,4630,大卷尾,
466,265,466,綠啄木,C-01,Picus canus,1288,2168,綠啄木,
467,266,467,松鴉,C-01,Garrulus glandarius,1370,8644,松鴉,
468,267,468,臺灣藍鵲,C-01,Urocissa caerulea,1546,4166,臺灣藍鵲,
469,268,469,星鴉,C-01,Nucifraga caryocatactes,1044,8913,星鴉,
471,269,471,巨嘴鴉,C-01,Corvus macrorhynchos,570,1737,巨嘴鴉,
472,270,472,黃魚鴞,S-01,Ketupa flavipes,73,420,黃魚鴞,
473,271,473,環頸雉,C-01,Phasianus colchicus,919,4531,環頸雉,
474,272,474,環頸雉,C-02,Phasianus colchicus,749,4455,環頸雉,
475,273,475,山羌,C-01,Muntiacus reevesi,655,1449,山羌,
477,274,477,大赤鼯鼠,C-01,Petaurista philippensis,5442,13025,大赤鼯鼠,
481,275,481,小彎嘴,S-09,Pomatorhinus musicus,1504,2573,小彎嘴,
486,276,486,智人,Speech_Song,Homo sapiens,203,1447,智人,
491,277,491,褐鷹鴞,S-02,Ninox japonica,363,967,褐鷹鴞,
528,278,528,褐林鴞,U-01,Strix leptogrammica,231,774,褐林鴞,
529,279,529,疣尾蝎虎,C-01,Hemidactylus frenatus,1584,4781,疣尾蝎虎,
531,280,531,草鴞,C-02,Tyto longimembris,923,5222,草鴞,
533,281,533,黃魚鴞,C-01,Ketupa flavipes,2478,5736,黃魚鴞,
547,282,547,小鵪鶉,S-01,Synoicus chinensis,1697,3133,小鵪鶉,
549,283,549,小鵪鶉,S-03,Synoicus chinensis,947,1518,小鵪鶉,
551,284,551,臺灣水鹿,C-01,Rusa unicolor,1147,2955,臺灣水鹿,
552,285,552,臺灣水鹿,C-02,Rusa unicolor,546,1811,臺灣水鹿,
553,286,553,小環頸鴴,C-01,Charadrius dubius,2201,3429,小環頸鴴,
554,287,554,白腰文鳥,C-01,Lonchura striata,3419,4934,白腰文鳥,
555,288,555,斑文鳥,C-01,Lonchura punctulata,3443,4209,斑文鳥,
556,289,556,斯文豪氏赤蛙,S-02,Odorrana swinhoana,262,1175,斯文豪氏赤蛙,
557,290,557,棕扇尾鶯,S-02,Cisticola juncidis,4922,7951,棕扇尾鶯,
559,291,559,深山鶯,S-01b,Horornis acanthizoides,3506,4299,深山鶯,
560,292,560,黑翅鳶,C-01,Elanus caeruleus,2203,3033,黑翅鳶,
561,293,561,中白鷺,C-01,Ardea intermedia,664,1505,中白鷺,
562,294,562,磯鷸,C-01,Actitis hypoleucos,4612,5573,磯鷸,
563,295,563,東方黃鶺鴒,C-01,Motacilla tschutschensis,4582,7383,東方黃鶺鴒,
564,296,564,智人,H-01,Homo sapiens,102,1143,智人,
565,297,565,灰鶺鴒,C-01,Motacilla cinerea,4963,7779,灰鶺鴒,
566,298,566,黑臉鵐,C-01,Emberiza spodocephala,7020,10053,黑臉鵐,
567,299,567,花嘴鴨,C-01,Anas zonorhyncha,742,2704,花嘴鴨,
568,300,568,小雲雀,S-01a,Alauda gulgula,2517,6344,小雲雀,
569,301,569,小雲雀,S-01b,Alauda gulgula,2403,6403,小雲雀,
570,302,570,小雲雀,S-01c,Alauda gulgula,2717,6583,小雲雀,
571,303,571,棕沙燕,C-01,Riparia chinensis,2861,7246,棕沙燕,
572,304,572,黃頭扇尾鶯,S-01b,Cisticola exilis,1563,3694,黃頭扇尾鶯,
574,305,574,黃胸青鶲,C-01,Ficedula hyperythra,7546,8318,黃胸青鶲,
576,306,576,黃羽鸚嘴,C-03,Suthora verreauxi,3955,5832,黃羽鸚嘴,
577,307,577,蒼翡翠,S-01,Halcyon smyrnensis,1799,3275,蒼翡翠,
579,308,579,冠郭公,S-01,Clamator coromandus,1755,2447,冠郭公,
580,309,580,松鴉,U-01,Garrulus glandarius,1118,2637,松鴉,
581,310,581,小翼鶇,C-01,Brachypteryx goodfellowi,1199,4144,小翼鶇,
582,311,582,棕噪眉,C-01,Ianthocincla poecilorhyncha,2246,2635,棕噪眉,
583,312,583,紅喉鶲,C-01,Ficedula albicilla,2700,6945,紅喉鶲,
584,313,584,鵲鴝,C-01,Copsychus saularis,3029,5498,鵲鴝,
585,314,585,琉球歌鴝,S-01,Larvivora komadori,1964,5021,琉球歌鴝,
586,315,586,白腰草鷸,C-01,Tringa ochropus,1987,6343,白腰草鷸,
587,316,587,東方環頸鴴,C-01,Charadrius alexandrinus,1443,4795,東方環頸鴴,
588,317,588,小嘴烏鴉,C-01,Corvus corone,657,2895,小嘴烏鴉,
589,318,589,赤足鷸,C-01,Tringa totanus,1909,3203,赤足鷸,
590,319,590,紅胸鶲,C-01,Ficedula parva,2834,3684,紅胸鶲,
591,320,591,裏海燕鷗,C-01,Hydroprogne caspia,3350,4969,裏海燕鷗,
592,321,592,白尾八哥,S-01,Acridotheres javanicus,1472,5171,白尾八哥,
593,322,593,高蹺鴴,C-01,Himantopus himantopus,2246,5111,高蹺鴴,
594,323,594,灰面鵟鷹,S-01,Butastur indicus,1572,3817,灰面鵟鷹,
595,324,595,喜鵲,C-01,Pica serica,1080,7064,喜鵲,
596,325,596,太平洋金斑鴴,C-01,Pluvialis fulva,1753,2699,太平洋金斑鴴,
597,326,597,黑腹燕鷗,C-01,Chlidonias hybrida,3157,7169,黑腹燕鷗,
598,327,598,白腹鶇,C-01,Turdus pallidus,7340,9416,白腹鶇,
599,328,599,赤腹鶇,C-01,Turdus chrysolaus,6411,9245,赤腹鶇,
600,329,600,小燕鷗,C-01,Sternula albifrons,2340,4888,小燕鷗,
601,330,601,黑鳶,C-01,Milvus migrans,1694,3428,黑鳶,
602,331,602,鳳頭燕鷗,C-01,Thalasseus bergii,519,4910,鳳頭燕鷗,
603,332,603,赤腹鷹,C-01,Accipiter soloensis,1824,5612,赤腹鷹,
604,333,604,田鷸,C-01,Gallinago gallinago,780,4932,田鷸,
605,334,605,小青足鷸,C-01,Tringa stagnatilis,1196,3574,小青足鷸,
606,335,606,反嘴鴴,C-01,Recurvirostra avosetta,1763,2799,反嘴鴴,
607,336,607,白冠雞,C-01,Fulica atra,717,3235,白冠雞,
608,337,608,蒙古鴴,C-01,Charadrius mongolus,2190,3732,蒙古鴴,
609,338,609,黃足鷸,C-01,Tringa brevipes,2572,3432,黃足鷸,
610,339,610,魚鷹,C-01,Pandion haliaetus,2411,3260,魚鷹,
611,340,611,鐵嘴鴴,C-01,Charadrius leschenaultii,2344,3579,鐵嘴鴴,
612,341,612,樹鷚,C-01,Anthus hodgsoni,6690,8558,樹鷚,
613,342,613,黑頭文鳥,C-01,Lonchura atricapilla,1900,7226,黑頭文鳥,
614,343,614,灰腳秧雞,C-01,Rallina eurizonoides,1194,2987,灰腳秧雞,
615,344,615,鵲鴝,S-01,Copsychus saularis,2345,5593,鵲鴝,
616,345,616,紅尾歌鴝,S-01,Larvivora sibilans,1875,4993,紅尾歌鴝,
617,346,617,黦鷸,C-01,Numenius madagascariensis,1045,2358,黦鷸,
618,347,618,彎嘴濱鷸,C-01,Calidris ferruginea,2597,4213,彎嘴濱鷸,
619,348,619,大杓鷸,C-01,Numenius arquata,1318,2532,大杓鷸,
620,349,620,大濱鷸,C-01,Calidris tenuirostris,813,2786,大濱鷸,
621,350,621,反嘴鷸,C-01,Xenus cinereus,1910,3355,反嘴鷸,
622,351,622,黑尾鷸,C-01,Limosa limosa,1017,3558,黑尾鷸,
623,352,623,中杓鷸,C-01,Numenius phaeopus,1539,2704,中杓鷸,
624,353,624,半蹼鷸,C-01,Limnodromus semipalmatus,423,2250,半蹼鷸,
625,354,625,紅胸濱鷸,C-01,Calidris ruficollis,1945,4869,紅胸濱鷸,
626,355,626,小濱鷸,C-01,Calidris minuta,3542,5369,小濱鷸,
627,356,627,唐白鷺,C-01,Egretta eulophotes,738,3128,唐白鷺,
628,357,628,諾氏鷸,C-01,Tringa guttifer,1080,2486,諾氏鷸,
629,358,629,三趾濱鷸,C-01,Calidris alba,1815,5078,三趾濱鷸,
630,359,630,尖尾濱鷸,C-01,Calidris acuminata,2021,4538,尖尾濱鷸,
631,360,631,白腹琉璃,S-01,Cyanoptila cyanomelana,3061,5350,白腹琉璃,
632,361,632,白腹琉璃,C-01,Cyanoptila cyanomelana,1678,8642,白腹琉璃,
633,362,633,灰山椒鳥,S-01,Pericrocotus divaricatus,3594,5755,灰山椒鳥,
634,363,634,灰斑鴴,C-01,Pluvialis squatarola,1916,3109,灰斑鴴,
635,364,635,紅領瓣足鷸,C-01,Phalaropus lobatus,1155,5127,紅領瓣足鷸,
636,365,636,寬嘴鶲,C-01,Muscicapa dauurica,4640,8177,寬嘴鶲,
637,366,637,翻石鷸,C-01,Arenaria interpres,945,4244,翻石鷸,
638,367,638,紅腹濱鷸,C-01,Calidris canutus,948,3425,紅腹濱鷸,
639,368,639,斑尾鷸,C-01,Limosa lapponica,936,2827,斑尾鷸,
640,369,640,琵嘴鷸,C-01,Calidris pygmaea,1198,3695,琵嘴鷸,
641,370,641,琵嘴鷸,S-01,Calidris pygmaea,1663,3502,琵嘴鷸,
642,371,642,綠簑鷺,C-01,Butorides striata,1432,2600,綠簑鷺,
643,372,643,大卷尾,C-01,Dicrurus macrocercus,2181,4666,大卷尾,
644,373,644,極北柳鶯,S-01,Phylloscopus borealis,2340,6210,極北柳鶯,
645,374,645,紅隼,C-01,Falco tinnunculus,1314,4038,紅隼,
646,375,646,赤腹鶇,C-02,Turdus chrysolaus,1251,2339,赤腹鶇,
647,376,647,栗尾椋鳥,C-01,Sturnia malabarica,2131,3867,栗尾椋鳥,
648,377,648,赤足鷸,C-02,Tringa totanus,2099,3624,赤足鷸,
649,378,649,食蟹獴,C-01,Herpestes urva,1704,8025,食蟹獴,
650,379,650,黑嘴鷗,C-01,Saundersilarus saundersi,1297,4021,黑嘴鷗,
651,380,651,小水鴨,C-01,Anas crecca,2046,2573,小水鴨,
652,381,652,小水鴨,C-02,Anas crecca,502,3779,小水鴨,
653,382,653,葡萄胸鴨,C-01,Mareca americana,1163,4667,葡萄胸鴨,
654,383,654,葡萄胸鴨,C-02,Mareca americana,429,4088,葡萄胸鴨,
655,384,655,紅嘴樹鴨,C-01,Dendrocygna autumnalis,1817,5773,紅嘴樹鴨,
656,385,656,紅嘴樹鴨,C-02,Dendrocygna autumnalis,1930,5943,紅嘴樹鴨,
657,386,657,赤膀鴨,C-01,Anas strepera,631,3272,赤膀鴨,
658,387,658,白額雁,C-01,Anser albifrons,719,4592,白額雁,
659,388,659,尖尾鴨,C-01,Anas acuta,1327,4683,尖尾鴨,
660,389,660,琵嘴鴨,C-01,Spatula clypeata,304,3273,琵嘴鴨,
661,390,661,琵嘴鴨,C-02,Spatula clypeata,495,3484,琵嘴鴨,
662,391,662,斑點鴨,C-01,Anas fulvigula,250,3501,斑點鴨,
663,392,663,雪雁,C-01,Anser caerulescens,565,3045,雪雁,
664,393,664,藍翅鴨,C-01,Spatula discors,2104,5239,藍翅鴨,
665,394,665,藍翅鴨,C-02,Spatula discors,347,3777,藍翅鴨,
666,395,666,灰頭椋鳥,S-01,Sturnia malabarica,2230,3183,灰頭椋鳥,
667,396,667,灰頭椋鳥,C-01,Sturnia malabarica,2054,4849,灰頭椋鳥,
